layer,kv_head,q_heads,score_sum,score_mean_q,score_max_q,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations,sparse_rank,u_rank,sparse_quantile
22,3,21-27,1941.692077456952,277.3845824938503,804.604527895105,0.6403688667773243,0.6001242120910096,0.3452077880549991,0.0214214616281763,0.4958366303552085,0.092787050269564,0.4563174769282341,0.5305351462215185,80,5,98,Q5_high
23,0,0-6,345.1194940697536,49.30278486710766,167.76059068341496,0.8681322313398973,0.8731381758450271,0.4729265664409259,0.021998991806101,0.5313504309262165,0.0863429860146634,0.3745925129391253,0.4094501286745071,80,37,24,Q4
23,1,7-13,2396.005697794554,342.28652825636493,796.6888505479998,0.5926629837076418,0.5654502489037188,0.3318676025732244,0.0217663495192689,0.4998530430277491,0.1007877992921641,0.4342896096408367,0.5205455608665943,80,3,107,Q5_high
23,2,14-20,624.0852843228768,89.15504061755382,150.37546979025666,0.700703805227867,0.6859418364351952,0.3915564277876583,0.0214683192821191,0.5212103281791206,0.1139402949064931,0.4853012401610613,0.5785162804648281,80,25,81,Q4
23,3,21-27,0.0,0.0,0.0,0.8016596822586022,0.8231074248711568,0.4920461235796345,0.0215762520486041,0.5912721218459666,0.1715571199381375,0.5279584445990622,0.6203419291763567,80,96,49,Q1_low
24,0,0-6,0.0,0.0,0.0,0.6155850934246396,0.5677876167458842,0.2774386029614414,0.022124368888639,0.4133410377443521,0.1019813514265926,0.4345174835529178,0.5249888003978412,80,96,105,Q1_low
24,1,7-13,5.035166975131728,0.7193095678759611,3.7459519771667296,0.9289758456211188,0.9350608496430456,0.6127376503288826,0.0212719051888971,0.6523406897658407,0.107229162804442,0.4984965431969613,0.5905622208490968,80,69,13,Q2
24,2,14-20,215.18559402380964,30.74079914625852,99.4922634088366,0.7038694118510344,0.6899582466271562,0.3423309780280515,0.0220536927941016,0.4505080759824805,0.0989018274281634,0.5241093606688082,0.6273667891509831,80,44,79,Q4
24,3,21-27,865.3409584935666,123.62013692765238,330.7962831087146,0.7525132094649216,0.7338255311636723,0.3951561740298386,0.0217345586439306,0.5051108134789946,0.1060342288882401,0.4661611053626984,0.5117043184116483,80,19,66,Q5_high
25,0,0-6,11.862424029517,1.6946320042167144,10.773293061506722,0.7041498210179683,0.6687549642284416,0.3552461764200635,0.0219002576468033,0.4608870416062424,0.1323092256487606,0.485672476189211,0.5839120950782671,80,61,78,Q3
