class,bin,x,mean_density,local_density,global_density
memory,115,0.5775,1.7184122917236088e-06,2.126854178050643e-06,1.3099704053965743e-06
memory,116,0.5824999999999999,1.8517264614934583e-06,2.2689493066492375e-06,1.434503616337679e-06
memory,117,0.5874999999999999,1.5489031058150844e-06,1.924449509186917e-06,1.173356702443252e-06
memory,118,0.5924999999999999,2.412106695807289e-06,2.9605553081622718e-06,1.863658083452306e-06
memory,119,0.5974999999999999,2.0928394193872495e-06,2.5753574476908255e-06,1.6103213910836731e-06
memory,120,0.6024999999999999,4.162080589924539e-06,5.0973240247133485e-06,3.2268371551357302e-06
memory,121,0.6074999999999999,7.4228207139427675e-06,9.283542297382226e-06,5.56209913050331e-06
memory,122,0.6124999999999999,6.928192247757236e-06,9.040806047211502e-06,4.815578448302971e-06
memory,123,0.6174999999999999,2.7352855102645225e-06,3.472089290780432e-06,1.998481729748613e-06
memory,124,0.6224999999999999,3.3600107168954963e-06,4.429401107623184e-06,2.2906203261678078e-06
memory,125,0.6275,1.5277926062386635e-06,1.8937828704347103e-06,1.1618023420426168e-06
memory,126,0.6325,1.4651710719371968e-06,1.7712983959698886e-06,1.1590437479045048e-06
memory,127,0.6375,1.3956690751214198e-06,1.7134996223181328e-06,1.0778385279247067e-06
memory,128,0.6425,1.676457284243899e-06,2.0754008928279645e-06,1.2775136756598332e-06
memory,129,0.6475,1.5330835653669183e-06,1.9070836535243492e-06,1.1590834772094877e-06
memory,130,0.6525,1.5990890870386476e-06,1.967007649056257e-06,1.2311705250210383e-06
memory,131,0.6575,2.2247015426625114e-06,2.7231790061132533e-06,1.7262240792117698e-06
memory,132,0.6625,1.9282875055895685e-06,2.357495753591587e-06,1.49907925758755e-06
memory,133,0.6675,1.7641640022764644e-06,2.165019018158481e-06,1.3633089863944477e-06
memory,134,0.6725,1.8292610602716136e-06,2.2102532461581354e-06,1.4482688743850918e-06
memory,135,0.6775,2.0243349015655356e-06,2.462739030749629e-06,1.5859307723814426e-06
memory,136,0.6825,1.8661023534162256e-06,2.2614658340140144e-06,1.4707388728184368e-06
memory,137,0.6875,1.9521260661754064e-06,2.3681023184532e-06,1.5361498138976126e-06
memory,138,0.6925,1.7700358562059557e-06,2.1594026250128293e-06,1.3806690873990819e-06
memory,139,0.6975,2.5725198795882603e-06,3.1283632666059787e-06,2.0166764925705423e-06
memory,140,0.7025,4.62580132651649e-06,5.522177271576435e-06,3.729425381456545e-06
memory,141,0.7074999999999999,1.2498186143667616e-05,1.5675731116392523e-05,9.32064117094271e-06
memory,142,0.7124999999999999,5.644674808215975e-06,7.352449941507004e-06,3.936899674924946e-06
memory,143,0.7174999999999999,2.747331477835714e-06,3.5023000168916656e-06,1.9923629387797626e-06
memory,144,0.7224999999999999,2.6011244142483672e-06,3.3410801881780266e-06,1.8611686403187082e-06
memory,145,0.7274999999999999,1.3909600163507897e-06,1.7535710128413484e-06,1.028349019860231e-06
memory,146,0.7324999999999999,1.3112821398175136e-06,1.636886093013924e-06,9.85678186621103e-07
memory,147,0.7374999999999999,1.5641436856147076e-06,1.955223173761671e-06,1.1730641974677442e-06
memory,148,0.7424999999999999,1.5243571895083521e-06,1.8993077454914392e-06,1.1494066335252648e-06
memory,149,0.7474999999999999,1.9352625184569956e-06,2.4013520391672972e-06,1.4691729977466939e-06
memory,150,0.7525,1.789771863920058e-06,2.208979941764034e-06,1.3705637860760822e-06
memory,151,0.7575,1.8446507153514955e-06,2.2712432030698142e-06,1.4180582276331768e-06
memory,152,0.7625,1.8678404972672967e-06,2.3354925479617865e-06,1.4001884465728068e-06
memory,153,0.7675,3.4699706060780055e-06,4.306590664572905e-06,2.6333505475831063e-06
memory,154,0.7725,3.512011233588262e-06,4.36985360008069e-06,2.654168867095834e-06
memory,155,0.7775,2.4200320476798973e-06,2.9490004856320234e-06,1.8910636097277714e-06
memory,156,0.7825,2.183562216281224e-06,2.6701013725810358e-06,1.6970230599814125e-06
memory,157,0.7875,2.499928134932509e-06,3.0293053638078247e-06,1.9705509060571928e-06
memory,158,0.7925,2.223730555377707e-06,2.718845204801208e-06,1.7286159059542068e-06
memory,159,0.7975,2.9390307990492407e-06,3.5439218806884614e-06,2.33413971741002e-06
memory,160,0.8025,1.4291013830979982e-05,1.7456773899869983e-05,1.1125253762089981e-05
memory,161,0.8075,8.485784015668038e-06,1.0876865415754421e-05,6.094702615581656e-06
memory,162,0.8125,3.5987893438731315e-06,4.436861894197585e-06,2.7607167935486782e-06
memory,163,0.8175,4.533620618012896e-06,5.963623825162405e-06,3.1036174108633875e-06
memory,164,0.8225,2.41984173222242e-06,2.957631534615769e-06,1.8820519298290716e-06
memory,165,0.8275,1.6771110731630054e-06,2.0539578082213204e-06,1.3002643381046904e-06
memory,166,0.8325,2.2323202959905875e-06,2.7309572067076865e-06,1.7336833852734887e-06
memory,167,0.8374999999999999,1.8439117003378092e-06,2.289703037273615e-06,1.3981203634020032e-06
memory,168,0.8424999999999999,2.0179605704535267e-06,2.499748189154173e-06,1.5361729517528808e-06
memory,169,0.8474999999999999,2.257711379719659e-06,2.761000880715168e-06,1.75442187872415e-06
memory,170,0.8524999999999999,2.4608766386274343e-06,2.980135004779552e-06,1.941618272475317e-06
memory,171,0.8574999999999999,2.378736601679213e-06,2.9169538938967653e-06,1.8405193094616612e-06
memory,172,0.8624999999999999,3.037551097462143e-06,3.6877710397663587e-06,2.387331155157928e-06
memory,173,0.8674999999999999,3.970807047788232e-06,4.98993446445024e-06,2.9516796311262235e-06
memory,174,0.8724999999999999,3.643817425707713e-06,4.438514534657853e-06,2.8491203167575735e-06
memory,175,0.8775,3.2421294582939943e-06,3.919252154585227e-06,2.565006762002762e-06
memory,176,0.8825,4.143215507637452e-06,4.932837654976467e-06,3.3535933602984364e-06
memory,177,0.8875,2.619962085180884e-06,3.1304309439369186e-06,2.1094932264248485e-06
memory,178,0.8925,3.8392544512318e-06,4.560629351202239e-06,3.1178795512613608e-06
memory,179,0.8975,4.082123603530498e-06,4.770006898167724e-06,3.394240308893273e-06
memory,180,0.9025,2.26858447802017e-05,2.8052419164343116e-05,1.7319270396060287e-05
memory,181,0.9075,9.759433065444493e-06,1.2581958719545276e-05,6.936907411343711e-06
memory,182,0.9125,5.5209171779250785e-06,6.942443174129831e-06,4.099391181720326e-06
memory,183,0.9175,4.251964331355598e-06,5.504966954456951e-06,2.998961708254246e-06
memory,184,0.9225,3.4058546507278697e-06,4.236196783441809e-06,2.5755125180139303e-06
memory,185,0.9275,2.9482368797493133e-06,3.680170819238397e-06,2.2163029402602296e-06
memory,186,0.9325,3.0374813712575357e-06,3.806309961590443e-06,2.268652780924628e-06
memory,187,0.9375,3.0469405266097513e-06,3.835157758215234e-06,2.258723295004269e-06
memory,188,0.9425,3.7309761127401883e-06,4.6633738758249486e-06,2.7985783496554285e-06
memory,189,0.9475,3.5914819915279775e-06,4.495637079066733e-06,2.6873269039892226e-06
memory,190,0.9525,3.702614368871882e-06,4.6763893341118425e-06,2.7288394036319217e-06
memory,191,0.9575,3.858482663950816e-06,4.915078740360549e-06,2.8018865875410838e-06
memory,192,0.9624999999999999,4.960051585156522e-06,6.295062724483933e-06,3.625040445829111e-06
memory,193,0.9674999999999999,5.1116339119221565e-06,6.501737456946185e-06,3.721530366898127e-06
memory,194,0.9724999999999999,5.145223497592057e-06,6.47718981586617e-06,3.813257179317943e-06
memory,195,0.9774999999999999,4.217579492967764e-06,5.300604987661989e-06,3.1345539982735377e-06
memory,196,0.9824999999999999,5.964300484052941e-06,7.3814288629801485e-06,4.547172105125733e-06
memory,197,0.9874999999999999,4.656038846825176e-06,5.751565456929203e-06,3.560512236721148e-06
memory,198,0.9924999999999999,6.8010306052484955e-06,8.223913276687163e-06,5.378147933809829e-06
memory,199,0.9975,1.0037035958083091e-05,1.2162548195156923e-05,7.911523721009258e-06
current,0,0.0025,0.00019392283900583312,0.0002130704581452244,0.00017477521986644182
current,1,0.0075,3.676389365186345e-05,4.010442407242188e-05,3.342336323130502e-05
current,2,0.0125,5.477770948670179e-05,5.924758138089689e-05,5.030783759250669e-05
current,3,0.017499999999999998,2.877513265909547e-05,3.1166469771793114e-05,2.638379554639783e-05
current,4,0.0225,1.3605841974435566e-05,1.473946069718413e-05,1.2472223251687003e-05
current,5,0.0275,9.272103812429356e-06,1.0090960942064854e-05,8.453246682793858e-06
current,6,0.0325,9.969173965094138e-06,1.0578022554993852e-05,9.360325375194424e-06
current,7,0.037500000000000006,1.7760613902401637e-05,2.018455143752436e-05,1.5336676367278916e-05
