layer,head,score_sum,score_mean,nonzero,max
15,14,548.5528279666084,0.5485528279666084,825,4.7034722222222225
15,15,326.8111080360063,0.3268111080360063,793,3.1706649831649845
15,16,0.0,0.0,0,0.0
15,17,0.0,0.0,0,0.0
15,18,228.49553296824908,0.2284955329682491,767,2.455952380952382
15,19,0.009259259259259259,9.259259259259259e-06,1,0.009259259259259259
15,20,671.510749519399,0.671510749519399,831,4.805642736892737
15,21,0.0,0.0,0,0.0
15,22,0.0,0.0,0,0.0
15,23,0.0,0.0,0,0.0
15,24,2.390022444448932,0.002390022444448932,39,0.25
15,25,0.018333333333333333,1.8333333333333333e-05,2,0.013333333333333334
15,26,0.0,0.0,0,0.0
15,27,0.5035562955562956,0.0005035562955562955,11,0.125
16,0,560.1533074138028,0.5601533074138029,828,5.330588624338622
16,1,479.374417020393,0.479374417020393,826,3.2142857142857153
16,2,4.415700308538823,0.004415700308538823,75,0.475
16,3,3.7793825175834677,0.003779382517583468,82,0.16666666666666666
16,4,7.536138822673301,0.007536138822673301,106,0.6666666666666667
16,5,298.74898925632476,0.29874898925632476,742,3.6701629389129393
16,6,6.365750623077142,0.006365750623077142,114,0.2777777777777778
16,7,346.5672392445723,0.34656723924457233,807,3.3462854195612817
16,8,0.0,0.0,0,0.0
16,9,617.5910921378622,0.6175910921378622,826,4.980588624338624
16,10,0.0,0.0,0,0.0
16,11,84.63564344977182,0.08463564344977181,496,2.449343711843712
16,12,100.83956616703934,0.10083956616703933,593,1.4227934102934103
16,13,675.3352381509374,0.6753352381509373,832,4.329011027286891
16,14,59.145998793304656,0.059145998793304656,539,0.9079365079365079
16,15,3.623710555254983,0.0036237105552549827,104,0.10470238095238095
16,16,6.0942694447783206,0.00609426944477832,97,0.25
16,17,33.28999192399113,0.03328999192399113,346,0.7499999999999999
16,18,0.1756146387725335,0.0001756146387725335,8,0.038461538461538464
16,19,39.30469703068982,0.039304697030689825,410,1.364186507936508
16,20,354.0731299012567,0.3540731299012567,799,3.333333333333333
16,21,0.0,0.0,0,0.0
16,22,0.0,0.0,0,0.0
16,23,0.0,0.0,0,0.0
16,24,0.0,0.0,0,0.0
16,25,0.0,0.0,0,0.0
16,26,0.0,0.0,0,0.0
16,27,0.5879638409948913,0.0005879638409948913,19,0.07692307692307693
17,0,1.2660198514007097,0.0012660198514007097,24,0.5
17,1,0.0,0.0,0,0.0
17,2,0.0,0.0,0,0.0
17,3,0.0,0.0,0,0.0
17,4,0.0,0.0,0,0.0
17,5,0.0,0.0,0,0.0
17,6,0.0,0.0,0,0.0
17,7,495.974468371503,0.495974468371503,816,3.8973080080838702
17,8,815.4653082875848,0.8154653082875848,858,5.107414568190433
17,9,0.0,0.0,0,0.0
17,10,0.14351851851851852,0.00014351851851851852,2,0.125
17,11,0.0,0.0,0,0.0
17,12,0.0,0.0,0,0.0
17,13,85.13407514893676,0.08513407514893676,569,1.7314514189514194
17,14,165.8024916440645,0.1658024916440645,713,2.4250420875420877
17,15,7.223171842046543,0.007223171842046543,167,0.16666666666666666
17,16,0.0,0.0,0,0.0
17,17,5.653788581183022,0.005653788581183023,96,0.26587301587301587
17,18,362.5463959857468,0.36254639598574684,819,2.361706349206349
17,19,609.2458505463362,0.6092458505463362,810,4.639384920634921
17,20,71.34102750748585,0.07134102750748585,553,1.2220658970658973
17,21,0.05316091954022988,5.316091954022988e-05,2,0.041666666666666664
17,22,0.13146535736805015,0.00013146535736805015,6,0.045454545454545456
17,23,0.02849002849002849,2.8490028490028492e-05,2,0.019230769230769232
17,24,377.908217815868,0.377908217815868,817,3.8516744829244844
17,25,0.0,0.0,0,0.0
17,26,0.7125953776968925,0.0007125953776968925,21,0.16666666666666666
17,27,0.45234440267335,0.00045234440267335005,8,0.14166666666666666
18,0,0.0,0.0,0,0.0
18,1,0.0,0.0,0,0.0
18,2,0.0,0.0,0,0.0
18,3,0.0,0.0,0,0.0
