layer,head,eager_current_share_global,eager_current_share_local,manual_current_share_global,manual_current_share_local,manual_s_current_share,eager_s_current_share
6,3,0.523318238556385,0.5149316493421793,0.6403750121593476,0.6440587125718593,0.6422168623656035,0.5191249439492822
6,4,0.5435667864978313,0.556486632861197,0.6579171001911164,0.6581471800804138,0.6580321401357652,0.5500267096795142
6,5,0.5791609369218349,0.5695360574871302,0.6914172917604446,0.670943695306778,0.6811804935336113,0.5743484972044826
6,6,0.4731792756356299,0.4788819911889732,0.48580904453992846,0.5227544561028481,0.5042817503213883,0.47603063341230156
6,7,0.21970604881644248,0.21697308886796235,0.7499690771102905,0.7185054242610931,0.7342372506856918,0.2183395688422024
6,8,0.3790228381752968,0.29647250240668654,0.6983583092689514,0.6585175782442093,0.6784379437565804,0.3377476702909917
6,9,0.32721087262034415,0.3615412339568138,0.8021994709968567,0.740430337190628,0.7713149040937424,0.344376053288579
6,10,0.5572457253932953,0.5307064428925514,0.5877382397651673,0.5253656566143036,0.5565519481897354,0.5439760841429233
6,11,0.36798651367425916,0.3429221287369728,0.8232524991035461,0.7988210082054138,0.81103675365448,0.355454321205616
6,12,0.4232051745057106,0.4475965902209282,0.677313169836998,0.683958837389946,0.680636003613472,0.4354008823633194
6,13,0.2792638838291168,0.23882131278514862,0.7589637398719787,0.7780998945236206,0.7685318171977997,0.2590425983071327
6,14,0.6575082287192344,0.664070439338684,0.7371154010295868,0.7504050076007843,0.7437602043151856,0.6607893340289592
6,15,0.5491235977038741,0.5535681957378984,0.6190415233373642,0.6107790410518646,0.6149102821946144,0.5513458967208862
6,16,0.4868628357537091,0.5424048352986575,0.704486072063446,0.727588027715683,0.7160370498895645,0.5146338355261832
6,17,0.6629656195640564,0.5702879250049591,0.7303844332695008,0.7254275918006897,0.7279060125350952,0.6166267722845078
6,18,0.7401664555072784,0.7142686128616333,0.7724177360534668,0.7390920996665955,0.7557549178600311,0.7272175341844559
6,19,0.6587435901165009,0.6497182697057724,0.8206355929374695,0.8035756945610046,0.8121056437492371,0.6542309299111366
6,20,0.602530375495553,0.6109094507992268,0.748304408788681,0.7226396322250366,0.7354720205068588,0.6067199131473899
6,21,0.26817211220040915,0.24334539715200662,0.4780198194086552,0.5066929444670677,0.49235638193786146,0.2557587546762079
6,22,0.32141342014074326,0.39063873048871756,0.5680415108799934,0.6103246092796326,0.589183060079813,0.3560260753147304
6,23,0.558606642484665,0.5351814210414887,0.7257776260375977,0.7008273422718048,0.7133024841547012,0.5468940317630768
6,24,0.606723801791668,0.5933281987905502,0.7363033413887023,0.7325195878744125,0.7344114646315574,0.6000260002911091
6,25,0.3404845580458641,0.3960715894587338,0.5790543906390667,0.5371048994362354,0.5580796450376511,0.36827807375229893
6,26,0.488259856402874,0.5024946123361588,0.6782303750514984,0.6265835508704185,0.6524069629609585,0.4953772343695164
6,27,0.541670548543334,0.5405108148232103,0.6681162729859352,0.6601092606782913,0.6641127668321133,0.5410906816832721
