class,bin,x,mean_density,local_density,global_density
memory,72,0.3625,1.1571156464280467e-06,1.4271522512221846e-06,8.87079041633909e-07
memory,73,0.3675,1.423622413778201e-06,1.7490106045248576e-06,1.0982342230315444e-06
memory,74,0.3725,1.5452319732223596e-06,1.9335931417623957e-06,1.1568708046823232e-06
memory,75,0.3775,1.1993138115749182e-06,1.4711383203353472e-06,9.274893028144892e-07
memory,76,0.3825,1.6848880609901782e-06,2.010971167250135e-06,1.3588049547302212e-06
memory,77,0.3875,1.3267700165879167e-06,1.5568661241117853e-06,1.0966739090640481e-06
memory,78,0.3925,2.059909544318071e-06,2.4057627753707007e-06,1.714056313265441e-06
memory,79,0.3975,1.8092327834222108e-06,2.1083826719827902e-06,1.5100828948616313e-06
memory,80,0.4025,3.159670605353408e-06,3.7297210999307842e-06,2.5896201107760313e-06
memory,81,0.40750000000000003,2.4377667461688764e-06,2.911700681059452e-06,1.963832811278301e-06
memory,82,0.41250000000000003,5.606808101597173e-06,6.796091947142651e-06,4.417524256051696e-06
memory,83,0.41750000000000004,4.0745771748249045e-06,5.164893405268739e-06,2.9842609443810697e-06
memory,84,0.4225,2.062031836639751e-06,2.5005555657613017e-06,1.6235081075182006e-06
memory,85,0.4275,1.2526019394477082e-06,1.4991567892425278e-06,1.0060470896528888e-06
memory,86,0.4325,1.2525682257866968e-06,1.476273412179155e-06,1.0288630393942386e-06
memory,87,0.4375,9.441281588333102e-07,1.1192047088238488e-06,7.690516088427717e-07
memory,88,0.4425,1.0532204266125265e-06,1.2505139929393787e-06,8.559268602856742e-07
memory,89,0.4475,9.71616134826824e-07,1.1825129913074466e-06,7.607192783462017e-07
memory,90,0.4525,1.0840024271223977e-06,1.3160990092835795e-06,8.519058449612156e-07
memory,91,0.4575,9.688120424226629e-07,1.188220513819777e-06,7.494035710255485e-07
memory,92,0.4625,1.1847045452818171e-06,1.4250909413692183e-06,9.443181491944161e-07
memory,93,0.4675,1.0023305740958222e-06,1.2163766614092652e-06,7.88284486782379e-07
memory,94,0.47250000000000003,1.3664698667138384e-06,1.6475257675060144e-06,1.0854139659216627e-06
memory,95,0.47750000000000004,1.1169250856611724e-06,1.3463590764974452e-06,8.874910948248997e-07
memory,96,0.4825,1.3600151400905137e-06,1.6118409921058889e-06,1.1081892880751385e-06
memory,97,0.4875,1.122205458002569e-06,1.3521579487139114e-06,8.922529672912265e-07
memory,98,0.4925,1.635437531916012e-06,1.9246096639508264e-06,1.3462653998811977e-06
memory,99,0.4975,1.406199019622183e-06,1.6688548978524889e-06,1.1435431413918773e-06
memory,100,0.5025,3.305341326149507e-06,3.875601666639536e-06,2.7350809856594785e-06
memory,101,0.5075,2.7932277038531e-06,3.327350236768458e-06,2.2591051709377417e-06
memory,102,0.5125,5.988842104436748e-06,7.293759215623117e-06,4.68392499325038e-06
memory,103,0.5175,4.0082769135207624e-06,5.05551122276526e-06,2.961042604276266e-06
memory,104,0.5225,1.8092583319782662e-06,2.192614008439758e-06,1.4259026555167748e-06
memory,105,0.5275,1.1223936754672709e-06,1.3626086828563446e-06,8.82178668078197e-07
memory,106,0.5325,1.156347766469294e-06,1.3960042436665744e-06,9.166912892720137e-07
memory,107,0.5375,9.261088441464776e-07,1.1164659646659822e-06,7.357517236269732e-07
memory,108,0.5425,1.034909371798688e-06,1.2552601840274316e-06,8.145585595699444e-07
memory,109,0.5475,8.284609469670795e-07,1.0043016010507477e-06,6.526202928834115e-07
memory,110,0.5525,1.0769975572261442e-06,1.3058036201997522e-06,8.48191494252536e-07
memory,111,0.5575,1.021391082188318e-06,1.2523240261824358e-06,7.904581381942004e-07
memory,112,0.5625,1.1492049667554013e-06,1.4008479501933527e-06,8.975619833174497e-07
memory,113,0.5675,1.4451825412335624e-06,1.7850076155418542e-06,1.1053574669252705e-06
memory,114,0.5725,1.5395288430637536e-06,1.8575832138983013e-06,1.221474472229206e-06
memory,115,0.5775,1.1941341349277288e-06,1.4513963296207141e-06,9.368719402347436e-07
memory,116,0.5824999999999999,1.2714465526826572e-06,1.538608035691123e-06,1.0042850696741914e-06
